HUC_ID,HUC_DIGITS,NAME,STATE,TOTAL_AREA,UPLAND_1_AREA,UPLAND_2_AREA,
3040204,8,Little Pee Dee,NC-SC,3541711390,3511764766,3446070779,
3040205,8,Black,SC,5334120666,5305177421,5180694372,
3040206,8,Waccamaw,NC-SC,4278420644,4190298768,4000312429,
3040207,8,Carolina Coastal-Sampit,SC,1482802544,1249153165,1123206909,
3040208,8,Coastal Carolina,NC-SC,1752510561,994842898.7,895123014,
3050112,8,Santee,SC,1869430398,1758637059,1605952818,
3050201,8,Cooper,SC,3271192982,2818808373,2601353858,
3050202,8,South Carolina Coastal,SC,1003383710,791091274,670911361.7,
3050205,8,Four Hole Swamp,SC,1692546137,1685422686,1662664067,
3050206,8,Edisto River,SC,2430992911,2139320029,1875073567,
3050207,8,Salkehatchie,SC,4864306250,4595500964,4189484668,
3050208,8,Broad-St. Helena,SC,2504512177,2154793774,1883200394,
3050209,8,Bulls Bay,SC,1079395710,515459901.3,270297296.8,
3050210,8,St. Helena Island,SC,412244819.8,146578034.6,48827202.78,
3060109,8,Lower Savannah,GA-SC,2601930946,2464496312,2266460634,
3060110,8,Calibogue Sound-Wright River,GA-SC,1081736697,852171776,716126511.1,
3060202,8,Lower Ogeechee,GA,3069961790,3047827027,2957375896,
3060203,8,Canoochee,GA,3592228919,3573380674,3478003496,
3060204,8,Ogeechee Coastal,GA,3957003310,3015946712,2041948032,
304020406,10,Lake Swamp-Little Pee Dee River,NC-SC,462250607.8,460409196.7,453105753.3,
304020408,10,Lower Little Pee Dee River,SC,881489928.7,865628699.6,843296101.7,
304020508,10,Black Mingo Creek,SC,650534851.3,648153763.8,630693200.4,
304020509,10,Lower Black River,SC,941146021.3,925827055.5,884772254.6,
304020604,10,Juniper Creek-Waccamaw River,NC,434020690,433753390,394033281.7,
304020605,10,Seven Creeks,NC-SC,478979157,477029290.9,467001381.8,
304020606,10,Gore Creek-Waccamaw River,NC,293808108.5,292373005.7,272669471.4,
304020607,10,Buck Creek-Waccamaw River,NC-SC,638868096,633383632.8,608035989.3,
304020608,10,Kingston Lake,SC,337700326.8,336156322.3,329736141.2,
304020609,10,Socastee Swamp-Waccamaw River,SC,551644286,538009851.2,506202467.7,
304020610,10,Outlet Waccamaw River-Atlantic Intracoastal Waterway,SC,224980668.8,200296686.9,172989470.9,
304020701,10,Sampit River,SC,426019922.3,417372242.6,395818687.6,
