STATION_ID,SP_CODE,TAXON_NAME,COMMON_NAME,ABUND_AREA,TAX_FLAG,LEVEL
RT00541,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO026022,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO036036,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO036038,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO046082,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RT042073,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO056109,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO056096,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RT06006,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RT06020,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO07329,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RT07057,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,14.49275398,,
RO07342,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO08356,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RT10115,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO12328,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO14347,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO14348,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RO14350,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.774154663,,
RT14068,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RO15370,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,3.623188496,,
RT15093,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RT15099,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RT18191,A028,Rhizoprionodon terraenovae,Atlantic sharpnose shark,7.246376991,,
RT06032,A031,Sphyrna tiburo,bonnethead,7.246376991,,
RT10119,A031,Sphyrna tiburo,bonnethead,7.246376991,,
RT15106,A031,Sphyrna tiburo,bonnethead,7.246376991,,
RO99303,A048,Hypanus americanus,southern stingray,7.246376991,,
RO01133,A048,Hypanus americanus,southern stingray,3.623188496,,
RT00518,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO00006,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO01133,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO01132,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO01144,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
