SP_CODE,SpCodeTaxon,Accepted,CorrectedTaxonName,Level,Phylum,Class,Order,Family,Genus,Species,OrganismCategory,OrgCat2,OrgCatAbbrev,OrgCat3,PloverPrey,PreyCat,Common Name,Comments
A028,Rhizoprionodon terraenovae,yes,Rhizoprionodon terraenovae,Species,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae,fish-cartilaginous,fish,O,fish,No,,Atlantic sharpnose shark,
A031,Sphyrna tiburo,yes,Sphyrna tiburo,Species,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo,fish-cartilaginous,fish,O,fish,No,,bonnethead,
A048,Dasyatis americana,no,Hypanus americanus,Species,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,americana,fish-cartilaginous,fish,O,fish,No,,southern stingray,
A050,Dasyatis sabina,no,Hypanus sabinus,Species,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,sabina,fish-cartilaginous,fish,O,fish,No,,Atlantic stingray,
A051,Dasyatis sayi,no,Hypanus say,Species,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,say,fish-cartilaginous,fish,O,fish,No,,bluntnose stingray,
A054,Gymnura micrura,yes,Gymnura micrura,Species,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,micrura,fish-cartilaginous,fish,O,fish,No,,smooth butterfly ray,
A059,Rhinoptera bonasus,yes,Rhinoptera bonasus,Species,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,bonasus,fish-cartilaginous,fish,O,fish,No,,cownose ray,
A062,Lepisosteus osseus,yes,Lepisosteus osseus,Species,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,fish-bony,fish,O,fish,No,,longnose gar,
A063,Elops saurus,yes,Elops saurus,Species,Chordata,Actinopterygii,Elopiformes,Elopidae,Elops,saurus,fish-bony,fish,O,fish,No,,ladyfish,
A064,Gymnura altavela,yes,Gymnura altavela,Species,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,altavela,fish-cartilaginous,fish,O,fish,No,,spiny butterfly ray,
