STATION_ID,STATION_TYPE,YEAR,AVG_STATION_DEPTH_m
RO00006,OpenWater,2000,5.33
RO00007,OpenWater,2000,6.25
RO00008,OpenWater,2000,6.40
RO00009,OpenWater,2000,1.65
RO00010,OpenWater,2000,6.40
RO00015,OpenWater,2000,4.79
RO00016,OpenWater,2000,2.54
RO00017,OpenWater,2000,5.50
RO00018,OpenWater,2000,8.50
RO00019,OpenWater,2000,6.10
RO00020,OpenWater,2000,2.70
RO00021,OpenWater,2000,4.00
RO00022,OpenWater,2000,7.00
RO00023,OpenWater,2000,4.18
RO00024,OpenWater,2000,11.30
RO00033,OpenWater,2000,1.07
RO00034,OpenWater,2000,4.90
RO00035,OpenWater,2000,4.45
RO00036,OpenWater,2000,6.10
RO00037,OpenWater,2000,2.16
RO00045,OpenWater,2000,3.00
RO00046,OpenWater,2000,7.90
RO00047,OpenWater,2000,7.99
RO00048,OpenWater,2000,5.80
RO00049,OpenWater,2000,6.90
RO00055,OpenWater,2000,3.70
RO00056,OpenWater,2000,7.00
RO00057,OpenWater,2000,2.90
RO00058,OpenWater,2000,5.80
RO00059,OpenWater,2000,3.05
RO01108,OpenWater,2001,2.10
RO01109,OpenWater,2001,6.16
RO01110,OpenWater,2001,5.00
RO01111,OpenWater,2001,8.26
RO01112,OpenWater,2001,6.70
RO01113,OpenWater,2001,7.65
RO01114,OpenWater,2001,1.05
RO01115,OpenWater,2001,10.25
RO01116,OpenWater,2001,4.90
RO01117,OpenWater,2001,1.91
RO01122,OpenWater,2001,2.10
RO01123,OpenWater,2001,7.60
RO01125,OpenWater,2001,3.90
RO01129,OpenWater,2001,8.05
RO01130,OpenWater,2001,3.43
RO01131,OpenWater,2001,1.61
RO01132,OpenWater,2001,4.36
RO01133,OpenWater,2001,11.41
RO01144,OpenWater,2001,4.62
RO01145,OpenWater,2001,4.90
RO01146,OpenWater,2001,7.60
RO01147,OpenWater,2001,5.50
RO01148,OpenWater,2001,2.70
RO01161,OpenWater,2001,10.00
RO01162,OpenWater,2001,4.90
RO01163,OpenWater,2001,9.00
RO01164,OpenWater,2001,6.78
RO01165,OpenWater,2001,5.09
RO026001,OpenWater,2002,13.00
RO026002,OpenWater,2002,3.52
RO026003,OpenWater,2002,5.38
RO026004,OpenWater,2002,2.14
RO026005,OpenWater,2002,6.40
RO026006,OpenWater,2002,4.17
RO026008,OpenWater,2002,2.51
RO026009,OpenWater,2002,7.15
RO026010,OpenWater,2002,5.23
RO026011,OpenWater,2002,5.18
RO026012,OpenWater,2002,4.30
RO026014,OpenWater,2002,6.93
RO026016,OpenWater,2002,1.80
RO026018,OpenWater,2002,9.10
RO026019,OpenWater,2002,7.60
RO026020,OpenWater,2002,7.13
RO026021,OpenWater,2002,2.58
RO026022,OpenWater,2002,8.93
RO026023,OpenWater,2002,5.59
RO026024,OpenWater,2002,3.65
RO026025,OpenWater,2002,3.30
RO026026,OpenWater,2002,4.60
RO026027,OpenWater,2002,3.51
RO026028,OpenWater,2002,13.46
RO026029,OpenWater,2002,2.66
RO026030,OpenWater,2002,4.69
RO026151,OpenWater,2002,4.83
RO036031,OpenWater,2003,3.60
RO036032,OpenWater,2003,14.00
RO036033,OpenWater,2003,4.56
RO036034,OpenWater,2003,7.90
RO036035,OpenWater,2003,3.20
RO036036,OpenWater,2003,3.40
RO036037,OpenWater,2003,4.00
RO036038,OpenWater,2003,7.42
RO036039,OpenWater,2003,8.50
RO036040,OpenWater,2003,2.40
RO036041,OpenWater,2003,4.44
RO036042,OpenWater,2003,6.10
RO036043,OpenWater,2003,3.55
RO036044,OpenWater,2003,1.67
RO036046,OpenWater,2003,1.80
RO036048,OpenWater,2003,4.74
RO036049,OpenWater,2003,3.47
RO036050,OpenWater,2003,2.70
RO036052,OpenWater,2003,7.30
RO036053,OpenWater,2003,2.83
RO036054,OpenWater,2003,1.92
RO036055,OpenWater,2003,5.50
RO036056,OpenWater,2003,6.14
RO036057,OpenWater,2003,5.95
RO036058,OpenWater,2003,4.26
RO036059,OpenWater,2003,3.38
RO036060,OpenWater,2003,4.30
RO036152,OpenWater,2003,5.90
RO036153,OpenWater,2003,4.69
RO046061,OpenWater,2004,8.43
RO046063,OpenWater,2004,4.30
RO046064,OpenWater,2004,4.60
RO046065,OpenWater,2004,5.34
RO046066,OpenWater,2004,4.75
RO046067,OpenWater,2004,8.65
RO046068,OpenWater,2004,1.80
RO046069,OpenWater,2004,12.29
RO046070,OpenWater,2004,4.60
RO046071,OpenWater,2004,5.50
RO046073,OpenWater,2004,1.65
RO046074,OpenWater,2004,8.00
RO046075,OpenWater,2004,10.40
RO046076,OpenWater,2004,3.70
RO046077,OpenWater,2004,5.06
