YEAR,STATION_TYPE,STATION_ID,SAMPLE_ID,STATION_DEPTH_m,TOW_DIST_m,SP_CODE,SP_NAME,ABUNDANCE
1999,OpenWater,RO99302,19996212,10,500,NA,*** no species valid effort ***,0
1999,OpenWater,RO99302,19996213,10,500,NA,*** no species valid effort ***,0
1999,OpenWater,RO99309,19995833,5,500,NA,*** no species valid effort ***,0
1999,TidalCreek,RT99037,19996172,2,250,NA,*** no species valid effort ***,0
2000,OpenWater,RO00010,20006033,6.4,500,NA,*** no species valid effort ***,0
2000,OpenWater,RO00010,20006035,6.4,500,NA,*** no species valid effort ***,0
2000,OpenWater,RO00037,20006115,2.7,500,NA,*** no species valid effort ***,0
2000,OpenWater,RO00048,20006055,5.5,500,NA,*** no species valid effort ***,0
2000,TidalCreek,RT00502,20006833,2.7,250,NA,*** no species valid effort ***,0
2000,TidalCreek,RT00502,20006835,2.4,250,NA,*** no species valid effort ***,0
2002,OpenWater,RO026016,20027772,1.5,500,NA,*** no species valid effort ***,0
2002,TidalCreek,RT022030,20028112,1.5,250,NA,*** no species valid effort ***,0
2003,OpenWater,RO036034,20038071,7.9,500,NA,*** no species valid effort ***,0
2003,OpenWater,RO036049,20038351,3,500,NA,*** no species valid effort ***,0
2003,OpenWater,RO036057,20038490,5.8,500,NA,*** no species valid effort ***,0
2003,OpenWater,RO036057,20038491,6.1,500,NA,*** no species valid effort ***,0
2003,OpenWater,RO036059,20038530,2.4,500,NA,*** no species valid effort ***,0
2003,OpenWater,RO036060,20038551,4.3,500,NA,*** no species valid effort ***,0
2003,TidalCreek,RT032031,20038611,4,250,NA,*** no species valid effort ***,0
2003,TidalCreek,RT032176,20039011,0.6,180,NA,*** no species valid effort ***,0
2004,OpenWater,RO046067,20048130,9.1,500,NA,*** no species valid effort ***,0
2004,TidalCreek,RT042070,20048751,3.7,250,NA,*** no species valid effort ***,0
2005,OpenWater,RO056108,20058350,9.8,500,NA,*** no species valid effort ***,0
2005,TidalCreek,RT052109,20058731,4.6,250,NA,*** no species valid effort ***,0
2006,OpenWater,RO06306,20068111,6.7,500,NA,*** no species valid effort ***,0
2006,OpenWater,RO06322,20068391,8.5,500,NA,*** no species valid effort ***,0
2006,TidalCreek,RT06027,20068831,1.2,250,NA,*** no species valid effort ***,0
2007,OpenWater,RO07333,20079110,1.2,500,NA,*** no species valid effort ***,0
2007,OpenWater,RO07337,20079190,7.6,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08344,20088330,0.9,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08347,20088370,4.6,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08349,20088411,4.9,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08350,20088430,,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08351,20088451,7,500,NA,*** no species valid effort ***,0
2008,OpenWater,RO08353,20088490,9.1,500,NA,*** no species valid effort ***,0
