HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D
3050202,8,0,92055600,69660000,48632400,952200,233034300,73501200,265655700
3050209,8,0,75831300,18642600,2293200,0,158546700,0,222615900
3050210,8,0,28026000,6442200,0,102157200,10606500,1359900,0
3060110,8,0,130866300,20028600,48414600,120235500,114219000,164079900,254212200
3040204,8,0,804945600,335315700,410575500,116880300,847531800,369082800,632380500
3050112,8,0,187366500,48992400,109491300,82816200,195081300,236987100,906678000
3050201,8,0,149035500,160609500,360668700,86406300,271876500,446428800,1184980500
3060202,8,0,611351100,717997500,333603900,156765600,238656600,713572200,254063700
3060203,8,0,691864200,821167200,410927400,9512100,422427600,971834400,205875000
3060204,8,0,328684500,3459600,61249500,840185100,279045000,568320300,850124700
3040206,8,0,541645200,196051500,145869300,12855600,1123632000,1472859000,702041400
3040208,8,0,311645700,50799600,7568100,59490900,359821800,163808100,26131500
3040205,8,0,606449700,756223200,347991300,23532300,721045800,1958924700,888359400
3040207,8,0,178595100,13712400,10665000,47394900,122665500,302023800,571339800
3050205,8,0,60953400,265430700,429692400,0,111417300,448879500,368505900
3050206,8,0,204250500,162671400,286116300,43774200,381959100,590085900,476298000
3050207,8,0,859430700,591608700,443464200,328902300,528698700,1159086600,694116900
3050208,8,0,483307200,197055900,139609800,283606200,297957600,511548300,264980700
3060109,8,0,361327500,170957700,216323100,172003500,188428500,522530100,798162300
3040204,8,1,802342800,334545300,410160600,116726400,836147700,367915500,630504000
3040205,8,1,604592100,755421300,347659200,23481900,715710600,1956891600,884456100
3040206,8,1,539636400,195611400,145584900,12815100,1114514100,1467901800,695012400
3040207,8,1,177149700,13710600,10656900,45728100,119839500,300064500,561321900
3040208,8,1,309018600,50392800,7563600,48225600,357102900,162672300,25825500
3050112,8,1,186806700,48572100,109012500,72380700,194588100,236007000,892424700
