HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D,A_prct,B_prct,C_prct,D_prct,AD_prct,BD_prct,CD_prct
3050202,8,0,92055600,69660000,48632400,952200,233034300,73501200,265655700,11.74940784,8.890971873,6.207138968,0.121532923,29.74305781,9.381238901,33.90665169
3050209,8,0,75831300,18642600,2293200,0,158546700,0,222615900,15.86662222,3.900699203,0.479819522,0,33.17364458,0,46.57921447
3050210,8,0,28026000,6442200,0,102157200,10606500,1359900,0,18.8610677,4.33550169,0,68.75022713,7.138011653,0.915191821,0
3060110,8,0,130866300,20028600,48414600,120235500,114219000,164079900,254212200,15.35888306,2.350619871,5.682090651,14.11121873,13.40510326,19.25693625,29.83514818
3040204,8,0,804945600,335315700,410575500,116880300,847531800,369082800,632380500,22.88915198,9.534920145,11.67498154,3.323567393,24.10011829,10.49510961,17.98215106
3050112,8,0,187366500,48992400,109491300,82816200,195081300,236987100,906678000,10.60117365,2.771983998,6.195004359,4.685730464,11.03767609,13.40870113,51.29973032
3050201,8,0,149035500,160609500,360668700,86406300,271876500,446428800,1184980500,5.602826129,6.037937962,13.55894412,3.24835006,10.22089877,16.783001,44.54804196
3060202,8,0,611351100,717997500,333603900,156765600,238656600,713572200,254063700,20.20320418,23.72752759,11.02454499,5.180603135,7.886839524,23.58128554,8.395995044
3060203,8,0,691864200,821167200,410927400,9512100,422427600,971834400,205875000,19.57954079,23.2387753,11.62911708,0.269189459,11.95456915,27.50261001,5.826198204
3060204,8,0,328684500,3459600,61249500,840185100,279045000,568320300,850124700,11.21381085,0.118032034,2.089664429,28.66480407,9.520247683,19.38952506,29.00391588
3040206,8,0,541645200,196051500,145869300,12855600,1123632000,1472859000,702041400,12.91182692,4.673507743,3.477256246,0.306453897,26.78532351,35.11025389,16.73537779
3040208,8,0,311645700,50799600,7568100,59490900,359821800,163808100,26131500,31.82442722,5.187519587,0.772834176,6.07505195,36.74404199,16.72764603,2.668479045
3040205,8,0,606449700,756223200,347991300,23532300,721045800,1958924700,888359400,11.43699539,14.26156407,6.56274526,0.443794113,13.59815578,36.94323332,16.75351206
3040207,8,0,178595100,13712400,10665000,47394900,122665500,302023800,571339800,14.3289154,1.100163551,0.855666716,3.802554003,9.841611397,24.23175932,45.83932962
3050205,8,0,60953400,265430700,429692400,0,111417300,448879500,368505900,3.617671819,15.7536932,25.50286098,0,6.61277675,26.64164291,21.87135434
3050206,8,0,204250500,162671400,286116300,43774200,381959100,590085900,476298000,9.521478024,7.583198868,13.33778895,2.040607408,17.80566107,27.50783929,22.20342638
3050207,8,0,859430700,591608700,443464200,328902300,528698700,1159086600,694116900,18.66174165,12.84623498,9.629414371,7.141808818,11.48020259,25.16849198,15.0721056
3050208,8,0,483307200,197055900,139609800,283606200,297957600,511548300,264980700,22.18974386,9.047289069,6.409806646,13.02101218,13.67991792,23.48635764,12.16587268
3060109,8,0,361327500,170957700,216323100,172003500,188428500,522530100,798162300,14.87108026,7.036070264,8.903164533,7.079112036,7.755112322,21.50566192,32.84979866
3040204,8,1,802342800,334545300,410160600,116726400,836147700,367915500,630504000,22.93494264,9.562966437,11.72442731,3.336620319,23.9012546,10.51685251,18.02293618
3040205,8,1,604592100,755421300,347659200,23481900,715710600,1956891600,884456100,11.43282472,14.28500192,6.574228632,0.444042267,13.53407336,37.00478165,16.72504745
3040206,8,1,539636400,195611400,145584900,12815100,1114514100,1467901800,695012400,12.93758222,4.689710648,3.490343895,0.307237262,26.72006152,35.19240035,16.6626641
3040207,8,1,177149700,13710600,10656900,45728100,119839500,300064500,561321900,14.42033806,1.11607012,0.867492864,3.722358326,9.755173748,24.42584735,45.69271954
3040208,8,1,309018600,50392800,7563600,48225600,357102900,162672300,25825500,32.16259179,5.244872171,0.787217919,5.019310444,37.16719576,16.93089924,2.687912683
3050112,8,1,186806700,48572100,109012500,72380700,194588100,236007000,892424700,10.73730202,2.791834057,6.265835947,4.160308147,11.18456243,13.56524384,51.29491356
3050201,8,1,148213800,159392700,359359200,80731800,270270000,444613500,1175516100,5.61820867,6.041957288,13.62190952,3.060228526,10.24488447,16.85356843,44.5592431
3050202,8,1,90899100,68742900,48555900,783000,231194700,72813600,253527300,11.85872711,8.968221819,6.33461902,0.102150443,30.1617382,9.499286708,33.0752567
3050205,8,1,60698700,264700800,428877000,0,110784600,448207200,366916500,3.612620469,15.75426703,25.52558504,0,6.593596133,26.67606563,21.83786569
3050206,8,1,202905000,162283500,285456600,41833800,372256200,587417400,455661000,9.626326048,7.699139416,13.5427826,1.984701208,17.66077502,27.86856617,21.61770954
3050207,8,1,858180600,591037200,442896300,306355500,515465100,1156995000,688802400,18.82085573,12.96210363,9.713208809,6.718717093,11.30472336,25.3741881,15.10620328
3050208,8,1,481125600,196632900,139225500,240131700,296821800,509942700,262267200,22.62898612,9.248319284,6.548252487,11.29421695,13.96054667,23.98435311,12.33532539
3050209,8,1,75066300,18173700,2286900,0,157438800,0,206081100,16.3526464,3.959008101,0.498184499,0,34.29689522,0,44.89326578
3050210,8,1,27775800,6442200,0,82911600,10513800,1359000,0,21.53122733,4.993860579,0,64.27136239,8.150080929,1.053468773,0
