STATION_ID,DATE,MONTH,DAY,YEAR,STATION_TYPE,StationLat,StationLong,HUC_08,HUC_10,HUC_12,HUC_14,BIBI_CP,ERMQ,ERMQ_Metals_08,ERMQ_PAH_13,ERMQ_PCB_Total,ERMQ_Pest_02,Met_Total_08,PAH_Total_13,PCB_Total,DDT_Total,PBDE_Total_13,SiltClay,TOC_sediment,Entero_DHEC,FecalColiform_DHEC,NOx_DHEC,TKN_DHEC,TN_SCECAP,TP_DHEC,TP_SCECAP,TOC_Water_DHEC,Chl_a_DHEC
RO00006,8/8/2000,8,8,2000,OpenWater,33.20234,-79.18721,3040207,304020702,30402070208,3040207040020,3.5,0.003372947,0.01011884,0,0,0,9.529999733,0,0,0,,10.19548607,0.569999993,,2,0.109999999,0.50999999,0.620000005,0.039999999,0.039999999,5.300000191,16
RO00007,7/11/2000,7,11,2000,OpenWater,32.97532,-79.91113,3050201,305020107,30502010705,3050201050010,4,0.001444367,0.004055784,0.000170658,0,0,3.720799923,8.180000305,0,0,,0.709680617,0.189999998,,0,0,0.460000008,0.460000008,0.039999999,0.039999999,3.299999952,10.4
RO00008,6/27/2000,6,27,2000,OpenWater,32.44977,-80.50282,3050207,305020711,30502071103,3050208100020,4,0.004224845,0.012674536,0,0,0,21.04999924,0,0,0,,9.715380669,0.244999997,,0,,,1.783326864,,0.086866841,4.599999905,8.56
RO00009,6/20/2000,6,20,2000,OpenWater,32.37755,-80.70574,3050208,305020805,30502080501,3050208100040,4.5,0.013354133,0.037333958,0.000753869,0.012027223,0,86.95999908,28.59000015,2.164900064,0,,25.95983696,0.774999976,,7,0.029999999,0.389999986,0.419999987,0.050000001,0.050000001,3.799999952,5.21
RO00010,6/20/2000,6,20,2000,OpenWater,32.29549,-80.64808,3050208,305020805,30502080503,3050208100050,4.5,0.005891375,0.017397458,0,0.002213333,0,48.19499969,0,0.398399979,0,,6.506874084,0.134999998,,0,0,0.360000014,0.360000014,0.050000001,0.050000001,3.400000095,5.11
RO00015,8/8/2000,8,8,2000,OpenWater,33.3687,-79.24757,3040206,304020610,30402061003,3040206150030,2.5,0.017297165,0.0273655,0.011196161,0.007022222,0.021817828,60.31000137,252.1600037,1.263999939,0.742999971,,29.77032661,2.215000033,,30,0.200000003,0.620000005,0.819999993,0.090000004,0.090000004,7.300000191,6.59
RO00016,7/18/2000,7,18,2000,OpenWater,33.06956,-79.47421,3050209,305020902,30502090202,3050202060010,3.5,0.008346916,0.025040748,0,0,0,27.55480003,0,0,0,,24.49003601,1.084999979,,0,0,0.460000008,0.460000008,0.07,0.07,4,15.5
RO00017,6/28/2000,6,28,2000,OpenWater,32.49974,-80.44495,3050207,305020710,30502071003,3050208040020,5,0.001846843,0.004975705,0,0.00145,0.001667925,4.477000237,0,0.261000007,0.052249998,,4.424856663,0.085000001,,0,0.029999999,0.5,0.529999971,0.109999999,0.109999999,4.599999905,9.07
RO00018,6/28/2000,6,28,2000,OpenWater,32.49816,-80.51617,3050207,305020711,30502071104,3050208100020,3.5,0.001072203,0.002741317,0,0.000880556,0.00158812,1.842000008,0,0.158500001,0.04975,,4.772825241,0.090000004,,0,0.039999999,0.419999987,0.459999979,0.090000004,0.090000004,4.300000191,4.98
RO00019,8/1/2000,8,1,2000,OpenWater,32.21329,-80.87769,3060110,306011003,30601100301,3050208110030,3,0.033180512,0.029150333,0.04293903,0.004922222,0,66.62000275,939.3900146,0.886000037,0,,26.73269081,0.675000012,,0,0.029999999,0.370000005,0.400000006,0.059999999,0.059999999,0,6.53
RO00020,8/8/2000,8,8,2000,OpenWater,33.3267,-79.27856,3040207,304020702,30402070208,3040207040030,3.5,0.008727113,0.024598237,0.000113609,0.000616667,0.005285611,54.86999893,3.839999914,0.111000001,0.180000007,,20.57423782,0.850000024,,26,0.209999993,0.620000005,0.829999983,0.079999998,0.079999998,6.599999905,6.72
RO00021,8/8/2000,8,8,2000,OpenWater,33.20249,-79.27205,3050112,305011204,30501120403,3050112060030,3,0.005002851,0.013970722,0.000301381,0.000966667,0.001709014,14.14820004,7.730000019,0.173999995,0.058200002,,16.45336914,0.685000002,,13,0,0.550000012,0.550000012,0.029999999,0.029999999,5,30.8
RO00022,7/26/2000,7,26,2000,OpenWater,32.50254,-80.35826,3050206,305020603,30502060308,3050205060070,3,0.006746278,0.019492472,0,0.003116667,0.001427115,26.61000061,0,0.56099999,0.048599999,,2.161598444,0.61500001,,4,0.039999999,0.349999994,0.389999986,0.050000001,0.050000001,4.300000191,11.2
RO00023,6/28/2000,6,28,2000,OpenWater,32.49579,-80.57587,3050207,305020711,30502071102,3050208100010,5,0.014348953,0.042055082,0,0,0.003967113,62.86800003,0,0,0.283300012,,16.32574272,0.805000007,,2,0.079999998,0.409999996,0.49000001,0.079999998,0.079999998,4.400000095,5.33
RO00024,6/21/2000,6,21,2000,OpenWater,32.30055,-80.80145,3050208,305020806,30502080606,3050208090100,4.5,0.001322509,0.003748778,0,0.00175,0,5.039999962,0,0.314999998,0,,10.44447613,0.244999997,,2,0,0.340000004,0.340000004,0.029999999,0.029999999,3.299999952,5.76
RO00033,7/19/2000,7,19,2000,OpenWater,32.78135,-79.87691,3050201,305020107,30502010707,3050202070020,4.5,0.007594262,0.021333005,0.000729779,0.002111111,0,41.25,27.59000015,0.379999995,0,,12.08722401,0.350000009,,0,0,0.379999995,0.379999995,0.059999999,0.059999999,2.799999952,8.67
RO00034,8/9/2000,8,9,2000,OpenWater,33.40089,-79.24031,3040207,304020702,30402070207,3040201170030,2.5,0.020883318,0.060246453,0.000347166,0.002205556,0.006254639,105.590004,14.78999996,0.397000015,0.213,,37.43666458,1.754999995,,44,0.140000001,0.610000014,0.75,0.079999998,0.079999998,7.900000095,15
RO00035,7/25/2000,7,25,2000,OpenWater,32.63557,-80.26876,3050206,305020604,30502060405,3050205070030,3.5,0.01255561,0.037291832,0,0.003,0,88.93909454,0,0.539999962,0,,11.27018261,0.584999979,,30,0.039999999,0.49000001,0.530000031,0.07,0.07,3.900000095,9.2
RO00036,7/5/2000,7,5,2000,OpenWater,32.49446,-80.79973,3050208,305020806,30502080603,3050208090060,5,0.016671497,0.049744427,0,0,0.00108026,30.32359886,0,0,0.099600002,,5.506299019,0.269999996,,2,0.029999999,0.479999989,0.50999999,0.079999998,0.079999998,3.799999952,7.85
RO00037,6/21/2000,6,21,2000,OpenWater,32.29158,-80.72581,3050208,305020806,30502080607,3050208090110,3,0.004062724,0.012056748,0,0.001051389,0,2.098999977,0,0.189249992,0,,1.337694168,0.050000001,,0,0,0.300000012,0.300000012,0.039999999,0.039999999,2.799999952,4.85
RO00045,7/12/2000,7,12,2000,OpenWater,32.77275,-80.07455,3050202,305020202,30502020202,3050202050070,3.5,0.002720422,0.007858812,0,0,0.001209818,13,0,0,0.041200001,,6.007870197,0.119999997,,140,0.319999993,0.50999999,0.829999983,0.07,0.07,6,9.17
RO00046,8/15/2000,8,15,2000,OpenWater,32.61194,-80.47833,3050207,305020710,30502071003,3050208040010,2.5,0.000620118,0.001212705,0,0.001005556,0.002087816,0.608399987,0,0.180999994,0.071099997,,2.804824352,0.095000003,,0,0.150000006,0.74000001,0.889999986,0.100000001,0.100000001,7.900000095,8.8
RO00047,6/21/2000,6,21,2000,OpenWater,32.37838,-80.7911,3050208,305020806,30502080608,3050208090110,4.5,0.009811368,0.029235492,0,0.001588889,0,38.79000092,0,0.286000013,0,,27.41275787,0.829999983,,0,0.029999999,0.289999992,0.319999993,0.039999999,0.039999999,3.200000048,4.63
RO00048,6/20/2000,6,20,2000,OpenWater,32.35258,-80.65246,3050208,305020805,30502080503,3050208100050,4.5,0.008605219,0.025222469,0,0.002566667,0.001089423,55.19509888,0,0.462000012,0.037099998,,13.16841888,0.424999997,,0,0,0.810000002,0.810000002,0.029999999,0.029999999,2.900000095,7.28
